type,localId,name,atlasRecordId,status
Character,13498,Aarav,2109527,Active
Character,13499,Meera,2109564,Active
Character,13500,Ma,2109582,Active
Character,13761,Dr. Mehta,2135419,Active
Character,13762,Anu,2135440,Active
Character,13764,Ravi,2135457,Active
Character,13771,Maya,2138250,Active
Character,13772,Ethan,2138260,Active
Character,13773,అనన్య,2140438,Active
Character,13774,అరుణ్,2140462,Active
Character,13775,డాక్టర్,2140480,Active
Character,13794,అనిక,2143099,Active
Character,13795,రవి,2143781,Active
Character,13796,డాక్టర్ మీరా,2143819,Active
Outfit,21580,Aarav story wardrobe,2109550,Active
Outfit,21581,Meera story wardrobe,2109577,Active
Outfit,21582,Ma story wardrobe,2109583,Active
Outfit,21955,Dr. Mehta story wardrobe,2135423,Active
Outfit,21956,Anu story wardrobe,2135443,Active
Outfit,21958,Ravi story wardrobe,2135462,Active
Outfit,21971,Maya story wardrobe,2138255,Active
Outfit,21972,Ethan story wardrobe,2138263,Active
Outfit,21973,అనన్య story wardrobe,2140445,Active
Outfit,21974,అరుణ్ story wardrobe,2140472,Active
Outfit,21975,డాక్టర్ story wardrobe,2140487,Active
Outfit,22012,అనిక story wardrobe,2143105,Active
Outfit,22013,రవి story wardrobe,2143794,Active
Outfit,22014,డాక్టర్ మీరా story wardrobe,2143837,Active
