date,model,atlasTaskId,atlasStatus,acceptedAt,requestId,operationKey,attemptJobs,finalSuccessfulJob,estimatedAtlasUsd,amountQuality,classification
2026-09-08,bytedance/seedance-2.5/image-to-video,e5cab8d6e874480e8da5fc546f20f73b,completed,2026-09-08T15:01:35.221Z,a6eca1bf-f00e-46e6-8347-a9ff755a6e45,topic_animation:0,#68999 → #69000 → #69001,#69001,2.978599,Estimated per task; exact daily/model bucket,"Charged on failed attempt, reused in successful recovery"
2026-09-08,bytedance/seedance-2.5/image-to-video,cc922215d2b0425c9967af673b1471a1,completed,2026-09-08T15:01:35.419Z,906c0d47-e60f-4e7e-96b4-a69f1612b09b,topic_animation:1,#68999 → #69000 → #69001,#69001,4.765738,Estimated per task; exact daily/model bucket,"Charged on failed attempt, reused in successful recovery"
2026-09-08,bytedance/seedance-2.5/image-to-video,6ac69636111e4129b9892b0d05f1ba43,completed,2026-09-08T15:01:35.505Z,127837fa-2406-4403-bb18-19acf97a4cc0,topic_animation:2,#68999 → #69000 → #69001,#69001,2.978599,Estimated per task; exact daily/model bucket,"Charged on failed attempt, reused in successful recovery"
2026-09-09,bytedance/seedance-2.5/reference-to-video,221b46bcbd524695bc6b7dc1313cd1e1,completed,2026-09-09T07:10:51.242Z,2741ddc1-47ca-4f8f-8386-37add09f673c,topic_animation:1,#69706,#69706,2.975445,Estimated per task; exact daily/model bucket,Delivered by successful KOKAO generation
2026-09-09,bytedance/seedance-2.5/reference-to-video,5750b53c9be9487ba639c13a1ddfdc79,completed,2026-09-09T07:10:51.251Z,8214cd69-a6d8-4525-a3a8-29ea11a957c5,topic_animation:0,#69706,#69706,2.975445,Estimated per task; exact daily/model bucket,Delivered by successful KOKAO generation
2026-09-09,bytedance/seedance-2.5/reference-to-video,e000c44d9703467280038477cfa3d550,completed,2026-09-09T07:10:51.294Z,0c82b52b-819d-4d7b-9255-d5ec432dad0e,topic_animation:2,#69706,#69706,2.975445,Estimated per task; exact daily/model bucket,Delivered by successful KOKAO generation
2026-09-09,bytedance/seedance-2.5/reference-to-video,93ceced68d9a41bcbfa38a35d2b368bd,completed,2026-09-09T07:14:06.114Z,55c518fd-a3d0-4cda-acee-a33ad351fc17,topic_animation:3,#69706,#69706,2.975445,Estimated per task; exact daily/model bucket,Delivered by successful KOKAO generation
2026-09-09,bytedance/seedance-2.5/reference-to-video,0e57092564a74310a8059a4a5af65ab9,completed,2026-09-09T08:20:22.816Z,7787ab39-18d5-4b44-b774-633c4b5f96b6,topic_animation:1,#69716,#69716,2.975445,Estimated per task; exact daily/model bucket,Delivered by successful KOKAO generation
2026-09-09,bytedance/seedance-2.5/reference-to-video,448691f3dc5e4e62b0828609a6195af6,completed,2026-09-09T08:20:22.829Z,0cf39f9d-8c4d-4c06-839b-0c9f4781a98a,topic_animation:2,#69716,#69716,4.760649,Estimated per task; exact daily/model bucket,Delivered by successful KOKAO generation
2026-09-09,bytedance/seedance-2.5/reference-to-video,93796423a3764de2a5346b863a7b2c3a,completed,2026-09-09T08:20:22.871Z,496d912a-d752-468f-be2f-b90fe894d022,topic_animation:0,#69716,#69716,2.975445,Estimated per task; exact daily/model bucket,Delivered by successful KOKAO generation
2026-09-09,bytedance/seedance-2.5/reference-to-video,422e2aab86ef41f2913195995836156b,completed,2026-09-09T08:41:25.265Z,eb021b4b-5ba2-4f0b-a77a-cda7744e599e,topic_animation:2,#69717,#69717,4.760649,Estimated per task; exact daily/model bucket,"Delivered, wrong spoken language — preventable quality loss"
2026-09-09,bytedance/seedance-2.5/reference-to-video,0ab8cb77c7af4025bdbf6073670cb32d,completed,2026-09-09T08:41:25.273Z,6f65f4e3-87d3-4cc4-8fcf-cc9cec328600,topic_animation:0,#69717,#69717,2.975445,Estimated per task; exact daily/model bucket,"Delivered, wrong spoken language — preventable quality loss"
2026-09-09,bytedance/seedance-2.5/reference-to-video,888c5cbe930241d29a0603a068a87717,completed,2026-09-09T08:41:25.318Z,e3fa49eb-0c6b-4587-9eb2-eb9fbf5de656,topic_animation:1,#69717,#69717,4.760649,Estimated per task; exact daily/model bucket,"Delivered, wrong spoken language — preventable quality loss"
2026-09-09,bytedance/seedance-2.5/reference-to-video,b71b3258a90a467484b0fcc0f73220e0,completed,2026-09-09T08:45:12.493Z,6b3ad348-ba55-480c-b6bf-a2ebb153a180,topic_animation:3,#69717,#69717,5.950785,Estimated per task; exact daily/model bucket,"Delivered, wrong spoken language — preventable quality loss"
2026-09-09,bytedance/seedance-2.5/reference-to-video,16065512ac9e4c5cb1fa37a146753155,completed,2026-09-09T09:38:26.218Z,7aea18ed-fa25-46c8-a23a-41a0cae0a82a,topic_animation:1,#69771 → #69772,#69772,4.760649,Estimated per task; exact daily/model bucket,"Charged on failed attempt, reused in successful recovery"
2026-09-09,bytedance/seedance-2.5/reference-to-video,8093b9316429467daf457b4409186428,completed,2026-09-09T09:38:26.224Z,302d3016-d303-41f3-87ac-333f5963c796,topic_animation:0,#69771 → #69772,#69772,2.975445,Estimated per task; exact daily/model bucket,"Charged on failed attempt, reused in successful recovery"
2026-09-09,bytedance/seedance-2.5/reference-to-video,241e253fafad4fdaa653320f4976a40c,completed,2026-09-09T09:38:26.240Z,5298a8c0-db55-4f40-b5c9-d416da20bb69,topic_animation:2,#69771 → #69772,#69772,4.760649,Estimated per task; exact daily/model bucket,"Charged on failed attempt, reused in successful recovery"
2026-09-09,bytedance/seedance-2.5/reference-to-video,645f69dcee7d4eada57d0e4dfbbff7b5,completed,2026-09-09T09:42:27.458Z,6712fbc3-8341-4b60-9522-ab078018827b,topic_animation:3,#69771 → #69772,#69772,4.760649,Estimated per task; exact daily/model bucket,"Charged on failed attempt, reused in successful recovery"
2026-09-09,bytedance/seedance-2.5/reference-to-video,5fcd28b3c2db43f19d0c820cfae49b57,completed,2026-09-09T09:49:36.321Z,7beea1af-d395-4772-829d-97ee417b6b41,topic_animation:4,#69772,#69772,4.760649,Estimated per task; exact daily/model bucket,Delivered by successful KOKAO generation
2026-09-08,bytedance/seedance-2.5/text-to-video,Unavailable — Atlas aggregate only,Billed request,,,,No KOKAO match,,0.540126,Average allocation of exact $1.080251 bucket,Unmapped provider call — likely direct development/provider validation
